s,o,h,l,c,v,date,psar,PosDI,NegDI,ADX
ok,173.26,173.26,173.26,173.26,0.0,1997-07-20,173.26,0.0,0.0,0.0
,173.25,173.25,173.25,173.25,0.0,1997-07-21,173.25,0.0,0.0,0.0
,173.03,173.03,173.03,173.03,0.0,1997-07-22,173.26,0.0,0.0,0.0
,173.03,173.03,173.03,173.03,0.0,1997-07-23,173.25539999999998,0.0,0.0,0.0
,172.66,172.66,172.66,172.66,0.0,1997-07-24,173.250892,0.0,0.0,0.0
,173.15,173.15,173.15,173.15,0.0,1997-07-27,173.22725631999998,0.0,0.0,0.0
,172.88,172.88,172.88,172.88,0.0,1997-07-29,173.20456606719998,34.32574430823142,65.67425569176858,0.0
,172.12,172.12,172.12,172.12,0.0,1997-07-30,173.18278342451197,18.73804971319345,81.26195028680655,0.0
,171.7,171.7,171.7,171.7,0.0,1997-07-31,173.11901641904126,14.263622305103377,85.73637769489663,0.0
,171.52,171.52,171.52,171.52,0.0,1997-08-03,173.00549510551795,12.645926164889303,87.3540738351107,50.02901162728591
,171.36,171.36,171.36,171.36,0.0,1997-08-04,172.85694559496616,11.23068383261439,88.7693161673856,55.53093576878298
,171.16,171.16,171.16,171.16,0.0,1997-08-05,172.67731212357023,9.559135913248515,90.44086408675149,60.60109424972698
,171.1,171.1,171.1,171.1,0.0,1997-08-06,172.4648884262704,9.053805917245803,90.94619408275419,64.85935303288326
,171.24,171.24,171.24,171.24,0.0,1997-08-07,172.24650627806713,21.203132176352053,78.79686782364794,63.40622955576579
,170.39,170.39,170.39,170.39,0.0,1997-08-10,172.0630652735764,10.528717848863447,89.47128215113655,66.51349650506725
,169.38,169.38,169.38,169.38,0.0,1997-08-11,171.76191352433264,6.024155099198556,93.97584490080145,70.80113516437439
,169.28,169.28,169.28,169.28,0.0,1997-08-12,171.28553081946612,5.721216789876863,94.27878321012314,74.35242141554878
,169.28,169.28,169.28,169.28,0.0,1997-08-13,170.8844246555729,5.721216789876863,94.27878321012314,77.19345041648828
,169.52,169.52,169.52,169.52,0.0,1997-08-14,170.5635397244583,20.679297496751897,79.3207025032481,73.48304133448985
,169.57,169.57,169.57,169.57,0.0,1997-08-17,170.30683177956664,23.826568909880404,76.17343109011958,69.25580550363972
,169.76,169.76,169.76,169.76,0.0,1997-08-20,170.1014654236533,35.906284356643134,64.09371564335686,61.04213066025452
,169.57,169.57,169.57,169.57,0.0,1997-08-21,169.93717233892264,29.96617419977673,70.03382580022325,56.84723484829292
,169.91,169.91,169.91,169.91,0.0,1997-08-24,169.28,48.88225146412154,51.11774853587844,45.924887292985716
,169.57,169.57,169.57,169.57,0.0,1997-08-26,169.2926,36.544091208162406,63.45590879183758,42.12227335112361
,169.87,169.87,169.87,169.87,0.0,1997-08-27,169.304948,50.36258513219253,49.637414867807465,33.8428527337759
,169.98,169.98,169.98,169.98,0.0,1997-08-28,169.31704904,54.86724431408339,45.13275568591659,29.021179912654084
,169.64,169.64,169.64,169.64,0.0,1997-08-31,169.3435670784,40.623446650592896,59.37655334940709,26.96756526988611
,170.13,170.13,170.13,170.13,0.0,1997-09-01,169.369024395264,59.543671413273934,40.456328586726045,25.391520781218468
,170.2,170.2,170.2,170.2,0.0,1997-09-02,169.41468293154816,61.7217585845522,38.27824141544778,25.00192005879566
,168.74,168.74,168.74,168.74,0.0,1997-09-03,170.2,25.6785268885107,74.32147311148928,29.73012529163224
,168.63,168.63,168.63,168.63,0.0,1997-09-04,170.2,24.339916010997992,75.660083989002,34.04813382890659
,168.49,168.49,168.49,168.49,0.0,1997-09-07,170.13719999999998,22.475911651156803,77.5240883488432,38.24814240266255
,168.84,168.84,168.84,168.84,0.0,1997-09-08,170.038368,37.446238992076516,62.553761007923484,35.620018325299434
,169.18,169.18,169.18,169.18,0.0,1997-09-09,169.94546592,49.32806090138355,50.671939098616434,28.764790299686126
,169.17,169.17,169.17,169.17,0.0,1997-09-10,169.8581379648,48.98597712062524,51.01402287937474,23.4174413914988
,169.99,169.99,169.99,169.99,0.0,1997-09-11,168.49,70.18161305932779,29.81838694067221,26.806598336930154
,170.1,170.1,170.1,170.1,0.0,1997-09-14,168.52,72.12375094631311,27.876249053686884,30.29477904806937
,170.45,170.45,170.45,170.45,0.0,1997-09-16,168.5832,77.85927519861801,22.140724801381996,35.3795333179027
,170.6,170.6,170.6,170.6,0.0,1997-09-17,168.695208,80.05740658425871,19.942593415741293,40.326589288025644
,169.67,169.67,169.67,169.67,0.0,1997-09-18,168.84759136,45.24499722140873,54.755002778591276,34.163272541857026
,170.31,170.31,170.31,170.31,0.0,1997-09-21,168.9877840512,60.150895900909,39.849104099091015,31.39097639384922
,170.06,170.06,170.06,170.06,0.0,1997-09-22,169.116761327104,53.09348161215228,46.90651838784773,26.350173759940283
,170.43,170.43,170.43,170.43,0.0,1997-09-23,169.23542042093567,61.4590848535851,38.540915146414896,25.663772949386264
,169.96,169.96,169.96,169.96,0.0,1997-09-24,169.34458678726082,47.89573282280683,52.10426717719319,21.372725230386283
,169.97,169.97,169.97,169.97,0.0,1997-09-25,169.44501984427995,48.199768674900845,51.80023132509917,17.81827271434869
,170.71,170.71,170.71,170.71,0.0,1997-09-28,169.53741825673757,66.35804077358543,33.64195922641456,20.797834480913128
,170.64,170.64,170.64,170.64,0.0,1997-09-29,169.65467643106382,63.717003694498054,36.28299630550194,22.125069062529725
,171.23,171.23,171.23,171.23,0.0,1997-09-30,169.76020878795742,74.4363411201291,25.563658879870893,27.47459169807542
,170.2,170.2,170.2,170.2,0.0,1997-10-01,169.93658373340253,45.25821305883504,54.74178694116496,23.876388134926323
,169.8,169.8,169.8,169.8,0.0,1997-10-05,171.23,38.02299659545916,61.977003404540845,23.891911869757394
,169.7,169.7,169.7,169.7,0.0,1997-10-06,171.20139999999998,36.21382981677102,63.78617018322896,24.627997569097506
,169.68,169.68,169.68,169.68,0.0,1997-10-07,171.14134399999998,35.788122429347105,64.21187757065287,25.38714908353916
,169.43,169.43,169.43,169.43,0.0,1997-10-16,171.05366335999997,30.234681525753764,69.76531847424623,28.215846656529823
,169.51,169.51,169.51,169.51,0.0,1997-10-19,170.9237702912,34.3119525826503,65.6880474173497,28.84789629216374
,169.55,169.55,169.55,169.55,0.0,1997-10-20,170.80426866790398,36.6267654843514,63.373234515648605,28.427610839990432
,169.29,169.29,169.29,169.29,0.0,1997-10-21,170.69432717447165,28.474051924342465,71.52594807565754,31.352467902255363
,170.33,170.33,170.33,170.33,0.0,1997-10-22,170.55389445702448,66.14869047551586,33.85130952448413,31.541450512010634
